ID (do not edit),Content type,Element type,Source language (PL),Target language (EN)
"{""contentId"":""2803a679-01d7-46bc-81a8-1f635846059a"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Finger Buty na Palce, Akcesoria do Fingerboard, Finger Scooter, Fingerbike","Finger Shoes for Fingers, Fingerboard Accessories, Finger Scooter, Fingerbike"
"{""contentId"":""2803a679-01d7-46bc-81a8-1f635846059a"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Finger Sneakers TAIL WHIP Keychain Anime</b></p><p>Zostały stworzone przez młodą i popularną markę <b>TAIL WHIP</b>.</p><p>Odkryj najnowszą atrakcję dla miłośników fingerboard i nie tylko - Mini Buty na Palce! Te niezwykle realistyczne mini sneakersy są doskonałym dodatkiem do Twojej kolekcji fingerboard, czy jako oryginalny breloczek. Wykonane z najwyższej jakości materiałów, te miniaturowe buty zachwycają szczegółowością i autentycznością.</p><p>⭐ <b>Realistyczny Design:</b> Odtworzone z niezwykłą precyzją, te mini sneakersy wyglądają jak ich pełnowymiarowe odpowiedniki. Idealne dla fanów streetwearu i sneakerheadów.</p><p>⭐<b>Wielofunkcyjność</b>: Świetnie sprawdzą się jako urocze buty dla lalek, akcesoria do fingerboard, a nawet jako breloczki po dodaniu łańcuszka.</p><p>⭐<b>Przenośne i Bezpieczne</b>: Ich niewielki rozmiar umożliwia łatwe przenoszenie. Możesz zabrać je wszędzie, dodając stylu swojej torbie sportowej, plecaku czy kluczom.</p><p>⭐<b>Idealne na Prezent</b>: Czy to dla kolekcjonera sneakerów, miłośnika miniatur, czy jako edukacyjna zabawka dla dzieci, te mini buty to doskonały wybór na każdą okazję</p><p>⭐<b>Zestaw</b>: Każdy zestaw zawiera parę miniaturowych butów ze sznurówkami, które można regulować dla lepszego dopasowania.</p></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p>Ze względu na ich miniaturowy rozmiar, buty są precyzyjnie wykonane, co oznacza, że są tak unikatowe jak prawdziwe sneakersy.</p><p>Finger Buty na Palce TAILWHIP to idealny prezent w ładnie wyglądającym opakowaniu detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary buta:&nbsp; 5 x 2 x 3.5 cm</li>	<li>wymiary opakowania: 7.5 x 5.5 x 4 cm</li></ul></div><div class=""item item-12""><p><b>Mini buty Finger Sneakers TAIL WHIP to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<div class=""item item-6""> </div><div class=""item item-6""><p>Finger Sneakers TAIL WHIP Keychain Anime</p><p>They were created by the young and popular brand TAIL WHIP.</p><p>Discover the latest attraction for fingerboard enthusiasts and more - Mini Finger Shoes! These incredibly realistic mini sneakers are a perfect addition to your fingerboard collection or as an original keychain. Made from the highest quality materials, these miniature shoes impress with their detail and authenticity.</p><p>⭐Realistic Design: Recreated with extraordinary precision, these mini sneakers look like their full-sized counterparts. Perfect for streetwear fans and sneakerheads.</p><p>⭐Multifunctionality: They work great as cute shoes for dolls, fingerboard accessories, or even as keychains when you add a chain.</p><p>⭐Portable and Safe: Their small size allows for easy portability. You can take them anywhere, adding style to your sports bag, backpack, or keys.</p><p>⭐Perfect for a Gift: Whether for a sneaker collector, miniature enthusiast, or as an educational toy for children, these mini shoes are an excellent choice for any occasion.</p><p>⭐Set: Each set includes a pair of miniature shoes with laces that can be adjusted for a better fit.</p></div><div class=""item item-6""> </div><div class=""item item-6""><p>Due to their miniature size, the shoes are precisely crafted, meaning they are as unique as real sneakers.</p><p>Finger Mini Shoes TAIL WHIP are the perfect gift in a nicely looking retail package.</p><ul>set intended for children from 6 years old shoe dimensions: 5 x 2 x 3.5 cm packaging dimensions: 7.5 x 5.5 x 4 cm</ul></div><div class=""item item-12""><p>Mini shoes Finger Sneakers TAIL WHIP are a perfect gift for children, a motor skills toy supporting the development of motor skills, as well as a great addition to a store display or decoration in a café.</p></div>"
"{""contentId"":""38a7f338-b6a4-4f31-bd4c-0233b51e1e8c"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,offline_payment_method,,
"{""contentId"":""b7310e51-0daa-456b-ae36-bc14842ec68c"",""fieldId"":""menu"",""sequencePath"":[]}",TEXT,document.api.MenuService.Menu,<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Główna</label><items/></items><items><label>Sklep</label><items/></items><items><label>O nas</label><items/></items><items><label>Kontakt</label><items/></items></items></menu>,<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Home</label><items/></items><items><label>Shop</label><items/></items><items><label>About Us</label><items/></items><items><label>Contact</label><items/></items></items></menu>
"{""contentId"":""5f08eb34-dc6a-49e8-92ca-04991d51aeff"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Fingerbike BMX TAILWHIP Metalowy Mini Rower na Palce Pro Wersja + Akcesoria,Fingerbike BMX TAILWHIP Metal Mini Finger Bike Pro Version + Accessories
"{""contentId"":""5f08eb34-dc6a-49e8-92ca-04991d51aeff"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Fingerbike BMX TAIL WHIP Metalowy Pro Wersja + Akcesoria</b></p><p>Została stworzona przez młodą i popularną markę&nbsp;<b>TAIL WHIP</b>.</p><p>Nasze mini rowery można rozłożyć i złożyć ponownie. Możesz też użyć dodatkowych akcesoriów w <b>innym kolorze</b>, aby spersonalizować swój rower, tak jak robią to prawdziwi profesjonaliści.</p><p>⭐ <b>Zestaw Fingerbike BMX</b>; PROFESJONALNY&nbsp;Fingerbike BMX TAILWHIP metalowy, metalowy widelec, metalowe kółka z oponami z prawdziwej gumy, pegi metalowe kompletny zestaw</p><p>⭐<b>Miniaturkowa Zabawa</b>: Ciesz się dreszczykiem emocji wykonując niesamowite sztuczki Tailwhip na wyciągnięcie ręki.</p><p>⭐<b>Realistyczny Design</b>: Prezentujący realistyczny model bike BMX do trików ulicznych, prawdziwe triki, prawdziwe ślizgi.</p><p>⭐<b>Przenośny i Zabawny</b>: Zabierz go ze sobą wszędzie i baw się bez końca w podróży.</p><p>⭐<b>Świetny Pomysł na Prezent</b>: Idealny dla entuzjastów sportów ekstremalnych i tych, którzy szukają unikalnego prezentu-niespodzianki.</p><p><b>Finger bmx zestaw&nbsp;</b><b>TAILWHIP</b><b> obejmuje:</b></p><ul>	<li>Mini Rowerek</li>	<li>2 koła w innym kolorze</li>	<li>2 gripy w innym kolorze</li>	<li>4 pegi BMX metalowe</li>	<li>narzędzie do montażu</li>	<li>naklejka</li></ul></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>PRAWDZIWE ROWERY, NIEZWYKŁE TRIKI</b> - ćwicz, aby wykonywać nierealne triki na zabawkowych rowerach terenowych, niesamowite akrobacje, w tym tail whipy, flick triki i wiele więcej dla swoich przyjaciół!</p><p><b>IDEALNY PREZENT</b> - finger rower bmx są idealnym prezentem dla dzieci, aby mogły rozwijać swoje umiejętności motoryczne, koordynację ręka-oko i zwiększać ciekawość. Są to bardzo urocze zabawki, które można zdejmować, rekonfigurować, wymieniać opony, którymi można bawić się palcami.</p><p>Fingerbike mini rowerek<b> TAILWHIP</b> bmx mini dają mnóstwo zabawy podczas&nbsp;<b>nauki i wykonywania trików palcami.</b></p><p>Zabawkowy bmx, odlewany model roweru w 1:18, fingerbike metal, finger pro, wspaniały prezent, z ładnie wyglądającym pudełkiem detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary BMX'a:&nbsp; 11 x 7 x 4,5 cm</li>	<li>wymiary opakowania: 19 x 14 x 5.5 cm</li></ul></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><ul>	<li>Finger bike BMX od <b>TAIL WHIP</b> to kieszonkowa wersja Twojego ulubionego roweru.</li>	<li>Dokładnie odtwarza połączenia, detale i wygląd zewnętrzny.</li>	<li>I tak, można nim sterować palcami, kręcić pedałami i wykonywać supertriki!</li>	<li>Ćwiczenie palców jest niezbędne nie tylko dla maluchów, ale również dla nastolatków i dorosłych wujków oraz cioci.</li></ul><p>Czy wiedzieliście o takich trenażerach do motoryki rąk jak fingerbike, fingerboard, fingerskate?</p><p>A może już macie całą kolekcję takich fingerów od <b>TAIL WHIP</b>?</p></div><div class=""item item-12""><p><b>Mini BMX to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<div class=""item item-6""> </div><div class=""item item-6""><p>Fingerbike BMX TAIL WHIP Metal Pro Version + Accessories</p><p>It was created by the young and popular brand TAIL WHIP.</p><p>Our mini bikes can be disassembled and reassembled. You can also use additional accessories in a different color to personalize your bike, just like real professionals do.</p><p>⭐Fingerbike BMX Set; PROFESSIONAL Fingerbike BMX TAILWHIP metal, metal fork, metal wheels with real rubber tires, metal pegs complete set</p><p>⭐Miniature Fun: Enjoy the thrill of performing amazing Tailwhip tricks at your fingertips.</p><p>⭐Realistic Design: Featuring a realistic BMX bike model for street tricks, real tricks, real slides.</p><p>⭐Portable and Fun: Take it with you everywhere and have endless fun on the go.</p><p>⭐Great Gift Idea: Perfect for extreme sports enthusiasts and those looking for a unique surprise gift.</p><p>Finger BMX set TAILWHIP includes:</p><ul>Mini Bike 2 wheels in a different color 2 grips in a different color 4 metal BMX pegs assembly tool sticker</ul></div><div class=""item item-6""> </div><div class=""item item-6""><p>REAL BIKES, EXTRAORDINARY TRICKS - practice to perform unreal tricks on toy dirt bikes, amazing stunts including tail whips, flick tricks, and much more for your friends!</p><p>PERFECT GIFT - finger BMX bikes are the perfect gift for children to develop their motor skills, hand-eye coordination, and increase curiosity. They are very cute toys that can be disassembled, reconfigured, tire-swapped, and played with fingers.</p><p>Fingerbike mini bike TAILWHIP BMX mini provides lots of fun while learning and performing tricks with fingers.</p><p>Toy BMX, die-cast bike model in 1:18, fingerbike metal, finger pro, great gift, with a nice-looking retail box.</p><ul>set intended for children from 6 years old BMX dimensions: 11 x 7 x 4.5 cm packaging dimensions: 19 x 14 x 5.5 cm</ul></div><div class=""item item-6""> </div><div class=""item item-6""><ul>Finger bike BMX from TAIL WHIP is a pocket version of your favorite bike. Accurately reproduces connections, details, and exterior appearance. And yes, you can control it with your fingers, spin the pedals, and perform super tricks! Finger exercise is essential not only for toddlers but also for teenagers and adult uncles and aunts.
```</ul><p>Did you know about such hand motor skills trainers as fingerbike, fingerboard, fingerskate?</p><p>Or maybe you already have a whole collection of such fingers from TAIL WHIP?</p></div><div class=""item item-12""><p>Mini BMX is an excellent gift for children, a motor toy supporting the development of motor skills, and also a great addition to a store display or café decoration.</p></div>"
"{""contentId"":""58f27db2-dbf9-4cf6-a311-dc6ccd88ecdd"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h1 class=""font_0"">REGULAMIN SKLEPU INTERNETOWEGO TAILWHIP.STORE</h1>","<h1 class=""font_0"">ONLINE STORE REGULATIONS TAILWHIP.STORE</h1>"
"{""contentId"":""7998222e-aa48-4240-93d1-9462c8fd6b1f"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Fingerboard Buty TAILWHIP, Finger Sneakers AnimeShock, Akcesoria dla Dzieci","Fingerboard Shoes TAILWHIP, Finger Sneakers AnimeShock, Accessories for Children"
"{""contentId"":""7998222e-aa48-4240-93d1-9462c8fd6b1f"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6""><p><strong>Finger Sneakers TAILWHIP Anime Shock</strong></p><p>&nbsp;</p><p>They were created by the young and popular brand&nbsp;<strong>TAILWHIP</strong>.</p><p>Discover the latest attraction for fingerboard lovers and more - Mini Toe Shoes! These extremely realistic mini sneakers are a great addition to your fingerboard collection or as an original key chain. Crafted with the highest quality materials, these miniature shoes impress with their detail and authenticity.</p><p>&nbsp;</p><p>⭐&nbsp;<strong>Realistic Design:</strong>&nbsp;Recreated with extraordinary precision, these mini sneakers look like their full-size counterparts. Perfect for streetwear and sneakerhead fans.</p><p>⭐<strong>Multifunctionality:</strong> They are great as cute doll shoes, fingerboard accessories, or even as keychains when you add a chain.</p><p>⭐<strong>Portable and Safe:</strong> Their small size allows for easy portability. You can take them anywhere, adding style to your sports bag, backpack or keys.</p><p>⭐<strong>Perfect for Gift:</strong> Whether for sneaker collector, miniature lover, or as an educational toy for kids, these mini shoes are an excellent choice for any occasion</p><p>⭐<strong>Set:</strong> Each set includes a pair of miniature shoes with laces that can be adjusted for a better fit.</p><p>&nbsp;</p><p>Due to their miniature size, the shoes are precisely made, which means that they are as unique as real sneakers.</p><p>TAILWHIP Finger Boots are the perfect gift in a nice looking retail packaging.</p><ul>	<li>set designed&nbsp;<strong>for children from 6 years of age</strong></li>	<li>shoe dimensions: 3 x 1.5 cm</li></ul></div>","<div class=""item item-6""><p>Finger Sneakers TAILWHIP Anime Shock</p><p>Zostały stworzone przez młodą i popularną markę TAILWHIP.</p><p>Odkryj najnowszą atrakcję dla miłośników fingerboardów i nie tylko - Mini Toe Shoes! Te niezwykle realistyczne mini trampki są doskonałym dodatkiem do Twojej kolekcji fingerboardów lub jako oryginalny brelok. Wykonane z najwyższej jakości materiałów, te miniaturowe buty zachwycają szczegółowością i autentycznością.</p><p>⭐Realistyczny Design: Odwzorowane z niezwykłą precyzją, te mini trampki wyglądają jak ich pełnowymiarowe odpowiedniki. Idealne dla fanów streetwearu i sneakerheadów.</p><p>⭐Wielofunkcyjność: Świetnie sprawdzają się jako urocze buty dla lalek, akcesoria do fingerboardów, a nawet jako breloki, gdy dodasz łańcuszek.</p><p>⭐Przenośne i Bezpieczne: Ich mały rozmiar pozwala na łatwe przenoszenie. Możesz je zabrać wszędzie, dodając stylu do swojej torby sportowej, plecaka lub kluczy.</p><p>⭐Idealne na Prezent: Niezależnie czy dla kolekcjonera sneakersów, miłośnika miniatur, czy jako zabawka edukacyjna dla dzieci, te mini buty są doskonałym wyborem na każdą okazję.</p><p>⭐Zestaw: Każdy zestaw zawiera parę miniaturowych butów ze sznurówkami, które można regulować dla lepszego dopasowania.</p><p>Ze względu na ich miniaturowy rozmiar, buty są precyzyjnie wykonane, co oznacza, że są tak unikalne jak prawdziwe trampki.</p><p>TAILWHIP Finger Boots to idealny prezent w ładnym opakowaniu detalicznym.</p><p> </p><p>Due to their miniature size, the shoes are precisely made, which means that they are as unique as real sneakers.</p><p>TAILWHIP Finger Boots are the perfect gift in a nice looking retail packaging.</p><ul>zestaw zaprojektowany dla dzieci od 6 roku życia wymiary buta: 3 x 1,5 cm</ul></div>"
"{""contentId"":""ca70b967-ca36-478b-9027-1bb2da32ac20"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Fingerbike BMX TAILWHIP Metalowy Mini Rower na Palce Pro Wersja + Akcesoria,Fingerbike BMX TAILWHIP Metal Mini Finger Bike Pro Version + Accessories
