"ID (do not edit)","Content type","Element type","Source language (PL)","Target language (DE)"
"{""contentId"":""b7d75f87-b071-4197-b662-cfba8e2762b4"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Finger Buty na Palce, Akcesoria do Fingerboard, Finger Scooter, Fingerbike","Finger Boots, Zubehör für Fingerboard, Finger Scooter, Fingerbike"
"{""contentId"":""b7d75f87-b071-4197-b662-cfba8e2762b4"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Finger Sneakers TAIL WHIP Keychain Anime</b></p><p>Zostały stworzone przez młodą i popularną markę <b>TAIL WHIP</b>.</p><p>Odkryj najnowszą atrakcję dla miłośników fingerboard i nie tylko - Mini Buty na Palce! Te niezwykle realistyczne mini sneakersy są doskonałym dodatkiem do Twojej kolekcji fingerboard, czy jako oryginalny breloczek. Wykonane z najwyższej jakości materiałów, te miniaturowe buty zachwycają szczegółowością i autentycznością.</p><p>⭐ <b>Realistyczny Design:</b> Odtworzone z niezwykłą precyzją, te mini sneakersy wyglądają jak ich pełnowymiarowe odpowiedniki. Idealne dla fanów streetwearu i sneakerheadów.</p><p>⭐<b>Wielofunkcyjność</b>: Świetnie sprawdzą się jako urocze buty dla lalek, akcesoria do fingerboard, a nawet jako breloczki po dodaniu łańcuszka.</p><p>⭐<b>Przenośne i Bezpieczne</b>: Ich niewielki rozmiar umożliwia łatwe przenoszenie. Możesz zabrać je wszędzie, dodając stylu swojej torbie sportowej, plecaku czy kluczom.</p><p>⭐<b>Idealne na Prezent</b>: Czy to dla kolekcjonera sneakerów, miłośnika miniatur, czy jako edukacyjna zabawka dla dzieci, te mini buty to doskonały wybór na każdą okazję</p><p>⭐<b>Zestaw</b>: Każdy zestaw zawiera parę miniaturowych butów ze sznurówkami, które można regulować dla lepszego dopasowania.</p></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p>Ze względu na ich miniaturowy rozmiar, buty są precyzyjnie wykonane, co oznacza, że są tak unikatowe jak prawdziwe sneakersy.</p><p>Finger Buty na Palce TAILWHIP to idealny prezent w ładnie wyglądającym opakowaniu detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary buta:&nbsp; 5 x 2 x 3.5 cm</li>	<li>wymiary opakowania: 7.5 x 5.5 x 4 cm</li></ul></div><div class=""item item-12""><p><b>Mini buty Finger Sneakers TAIL WHIP to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<p>&nbsp;</p><p>Finger Sneakers TAIL WHIP Schlüsselanhänger Anime</p><p>Sie wurden von der jungen und beliebten Marke TAIL WHIP entwickelt.</p><p>Entdecken Sie die neueste Attraktion für Fingerboard-Liebhaber und darüber hinaus - die Mini Finger Sneakers! Diese äußerst realistischen Mini-Sneakers sind die perfekte Ergänzung zu Ihrer Fingerboard-Sammlung oder als origineller Schlüsselanhänger. Hergestellt aus den hochwertigsten Materialien, beeindrucken diese Miniaturschuhe durch ihre Detailtreue und Authentizität.</p><p>⭐ Realistisches Design: Mit äußerster Präzision nachgebildet, sehen diese Mini-Sneaker aus wie ihre lebensgroßen Gegenstücke. Perfekt für Streetwear-Fans und Sneakerheads.</p><p>⭐Multifunktional: Sie eignen sich hervorragend als süße Puppenschuhe, Fingerboard-Accessoires oder sogar als Schlüsselanhänger, wenn du eine Kette hinzufügst.</p><p>⭐Portabel und sicher: Dank ihrer geringen Größe lassen sie sich leicht transportieren. Du kannst sie überall hin mitnehmen und deiner Sporttasche, deinem Rucksack oder deinen Schlüsseln Stil verleihen.</p><p>⭐Ideal als Geschenk: Ob für einen Sneakersammler, einen Liebhaber von Miniaturen oder als Lernspielzeug für Kinder, diese Mini-Schuhe sind die perfekte Wahl für jede Gelegenheit</p><p>⭐Set: Jedes Set enthält ein Paar Miniaturschuhe mit Schnürsenkeln, die für eine bessere Passform angepasst werden können.</p><p>&nbsp;</p><p>Aufgrund ihrer Miniaturgröße sind die Schuhe präzise gefertigt, sodass sie genauso einzigartig sind wie echte Turnschuhe.</p><p>Die TAILWHIP Fingerstiefel sind das perfekte Geschenk in einer hübschen Verpackung für den Einzelhandel.</p><br/><p>das Set ist für Kinder ab 6 Jahren geeignet</p><p>Abmessungen der Schuhe: 5 x 2 x 3,5 cm</p><p>Verpackungsmaße: 7,5 x 5,5 x 4 cm</p><br/><p>Die Finger Sneakers TAIL WHIP Mini-Schuhe sind ein perfektes Geschenk für Kinder, ein Motorikspielzeug, das die Entwicklung der motorischen Fähigkeiten fördert, und eine tolle Ergänzung für die Auslage eines Geschäfts oder die Dekoration eines Cafés.</p>"
"{""contentId"":""38a7f338-b6a4-4f31-bd4c-0233b51e1e8c"",""fieldId"":""description"",""sequencePath"":[]}","TEXT","offline_payment_method",,
"{""contentId"":""a38c77e1-d30e-45e5-84b5-a33f321cc80a"",""fieldId"":""menu"",""sequencePath"":[]}","TEXT","document.api.MenuService.Menu","<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Główna</label><items/></items><items><label>Sklep</label><items/></items><items><label>O nas</label><items/></items><items><label>Kontakt</label><items/></items></items></menu>","<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Hauptsächlich</label><items/></items><items><label>Speichern</label><items/></items><items><label>Über uns</label><items/></items><items><label>Kontakt</label><items/></items></items></menu>"
"{""contentId"":""e6914d85-24ae-41ea-b986-208aa7d5ee81"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Fingerbike BMX TAILWHIP Metalowy Mini Rower na Palce Pro Wersja + Akcesoria","Fingerbike BMX TAILWHIP Metall Mini Finger Bike Pro Version + Zubehör"
"{""contentId"":""e6914d85-24ae-41ea-b986-208aa7d5ee81"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Fingerbike BMX TAIL WHIP Metalowy Pro Wersja + Akcesoria</b></p><p>Została stworzona przez młodą i popularną markę&nbsp;<b>TAIL WHIP</b>.</p><p>Nasze mini rowery można rozłożyć i złożyć ponownie. Możesz też użyć dodatkowych akcesoriów w <b>innym kolorze</b>, aby spersonalizować swój rower, tak jak robią to prawdziwi profesjonaliści.</p><p>⭐ <b>Zestaw Fingerbike BMX</b>; PROFESJONALNY&nbsp;Fingerbike BMX TAILWHIP metalowy, metalowy widelec, metalowe kółka z oponami z prawdziwej gumy, pegi metalowe kompletny zestaw</p><p>⭐<b>Miniaturkowa Zabawa</b>: Ciesz się dreszczykiem emocji wykonując niesamowite sztuczki Tailwhip na wyciągnięcie ręki.</p><p>⭐<b>Realistyczny Design</b>: Prezentujący realistyczny model bike BMX do trików ulicznych, prawdziwe triki, prawdziwe ślizgi.</p><p>⭐<b>Przenośny i Zabawny</b>: Zabierz go ze sobą wszędzie i baw się bez końca w podróży.</p><p>⭐<b>Świetny Pomysł na Prezent</b>: Idealny dla entuzjastów sportów ekstremalnych i tych, którzy szukają unikalnego prezentu-niespodzianki.</p><p><b>Finger bmx zestaw&nbsp;</b><b>TAILWHIP</b><b> obejmuje:</b></p><ul>	<li>Mini Rowerek</li>	<li>2 koła w innym kolorze</li>	<li>2 gripy w innym kolorze</li>	<li>4 pegi BMX metalowe</li>	<li>narzędzie do montażu</li>	<li>naklejka</li></ul></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>PRAWDZIWE ROWERY, NIEZWYKŁE TRIKI</b> - ćwicz, aby wykonywać nierealne triki na zabawkowych rowerach terenowych, niesamowite akrobacje, w tym tail whipy, flick triki i wiele więcej dla swoich przyjaciół!</p><p><b>IDEALNY PREZENT</b> - finger rower bmx są idealnym prezentem dla dzieci, aby mogły rozwijać swoje umiejętności motoryczne, koordynację ręka-oko i zwiększać ciekawość. Są to bardzo urocze zabawki, które można zdejmować, rekonfigurować, wymieniać opony, którymi można bawić się palcami.</p><p>Fingerbike mini rowerek<b> TAILWHIP</b> bmx mini dają mnóstwo zabawy podczas&nbsp;<b>nauki i wykonywania trików palcami.</b></p><p>Zabawkowy bmx, odlewany model roweru w 1:18, fingerbike metal, finger pro, wspaniały prezent, z ładnie wyglądającym pudełkiem detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary BMX'a:&nbsp; 11 x 7 x 4,5 cm</li>	<li>wymiary opakowania: 19 x 14 x 5.5 cm</li></ul></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><ul>	<li>Finger bike BMX od <b>TAIL WHIP</b> to kieszonkowa wersja Twojego ulubionego roweru.</li>	<li>Dokładnie odtwarza połączenia, detale i wygląd zewnętrzny.</li>	<li>I tak, można nim sterować palcami, kręcić pedałami i wykonywać supertriki!</li>	<li>Ćwiczenie palców jest niezbędne nie tylko dla maluchów, ale również dla nastolatków i dorosłych wujków oraz cioci.</li></ul><p>Czy wiedzieliście o takich trenażerach do motoryki rąk jak fingerbike, fingerboard, fingerskate?</p><p>A może już macie całą kolekcję takich fingerów od <b>TAIL WHIP</b>?</p></div><div class=""item item-12""><p><b>Mini BMX to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<p>&nbsp;</p><p>Fingerbike BMX TAIL WHIP Metal Pro Version + Zubehör.</p><p>Es wurde von der jungen und beliebten Marke TAIL WHIP entwickelt.</p><p>Unsere Miniräder können zerlegt und wieder zusammengebaut werden. Sie können auch zusätzliches Zubehör in einer anderen Farbe verwenden, um Ihr Fahrrad zu personalisieren, wie es die echten Profis tun.</p><p>Fingerbike BMX Bausatz; PROFESSIONAL Fingerbike BMX TAILWHIP Metallgabel, Metallräder mit Echtgummireifen, Metallstifte kompletter Bausatz</p><p>⭐Miniatur-Spaß: Genießen Sie den Nervenkitzel, wenn Sie erstaunliche Tailwhip-Tricks mit Ihren Fingerspitzen ausführen.</p><p>⭐Realistisches Design: Zeigt ein realistisches BMX-Radmodell für Street-Tricks, echte Tricks, echte Slides.</p><p>⭐Portabel und spaßig: Nehmen Sie es überall mit und haben Sie endlosen Spaß unterwegs.</p><p>⭐Große Geschenkidee: Perfekt für Extremsportler und diejenigen, die ein einzigartiges Überraschungsgeschenk suchen.</p><p>Finger-Bmx-Set TAILWHIP enthält:</p><br/><p>Mini-Bike</p><p>2 Räder in einer anderen Farbe</p><p>2 Griffe in einer anderen Farbe</p><p>4 BMX-Metallstifte</p><p>Montagewerkzeug</p><p>Aufkleber</p><br/><p>&nbsp;</p><p>ECHTE FAHRRÄDER, UNGLAUBLICHE TRICKS - übe, um unglaubliche Tricks auf den Spielzeug-Dirtbikes auszuführen, erstaunliche Stunts wie Tail Whips, Flick Tricks und vieles mehr für deine Freunde!</p><p>IDEALES GESCHENK - Finger Bike BMX sind das perfekte Geschenk für Kinder, um ihre motorischen Fähigkeiten und ihre Hand-Augen-Koordination zu entwickeln und ihre Neugierde zu steigern. Sie sind ein sehr niedliches Spielzeug, das abgenommen und umgestaltet werden kann, die Reifen können ausgetauscht werden und es kann mit den Fingern gespielt werden.</p><p>Fingerbike mini TAILWHIP bmx mini bikes bieten viel Spaß beim Lernen und Ausführen von Tricks mit den Fingern.</p><p>Spielzeug-Bmx, Gussmodell-Bike im Maßstab 1:18, Fingerbike Metall, Finger-Profi, tolles Geschenk, mit hübscher Verkaufsverpackung.</p><br/><p>Set geeignet für Kinder ab 6 Jahren</p><p>BMX Abmessungen: &nbsp;11 x 7 x 4,5 cm</p><p>Verpackungsmaße: 19 x 14 x 5,5 cm</p><br/><p>&nbsp;</p><br/><p>Das Fingerbike BMX von TAIL WHIP ist eine Version deines Lieblingsrads im Taschenformat.</p><p>Es gibt die Anschlüsse, Details und das äußere Design genau wieder.</p><p>Und ja, du kannst es mit deinen Fingern lenken, die Pedale drehen und Supertrikes ausführen!</p><p>Fingerübungen sind nicht nur für Kleinkinder wichtig, sondern auch für Teenager und erwachsene Onkel und Tanten.</p><p>Kennen Sie schon solche Handmotoriktrainer wie Fingerbike, Fingerboard, Fingerskate?</p><p>Oder haben Sie schon eine ganze Sammlung solcher Fingerbikes von TAIL WHIP?</p><p>Das Mini BMX ist ein perfektes Geschenk für Kinder, ein Motorikspielzeug zur Förderung der motorischen Fähigkeiten und eine tolle Ergänzung für die Auslage eines Geschäfts oder die Dekoration eines Cafés.</p>"
"{""contentId"":""f5f16e42-7b8a-483b-8386-9aeb24e1f539"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"">REGULAMIN SKLEPU INTERNETOWEGO TAILWHIP.STORE</h1>","<h1 class=""font_0"">BEDINGUNGEN UND KONDITIONEN DES TAILWHIP.STORE</h1>"
"{""contentId"":""e5ccb802-29ac-436e-8888-5640e4a4dc88"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Fingerboard Buty TAILWHIP, Finger Sneakers AnimeShock, Akcesoria dla Dzieci","Finger Boots, Zubehör für Fingerboard, Finger Scooter, Fingerbike"
"{""contentId"":""e5ccb802-29ac-436e-8888-5640e4a4dc88"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","<div class=""item item-6""><p><strong>Finger Sneakers TAILWHIP Anime Shock</strong></p><p>&nbsp;</p><p>They were created by the young and popular brand&nbsp;<strong>TAILWHIP</strong>.</p><p>Discover the latest attraction for fingerboard lovers and more - Mini Toe Shoes! These extremely realistic mini sneakers are a great addition to your fingerboard collection or as an original key chain. Crafted with the highest quality materials, these miniature shoes impress with their detail and authenticity.</p><p>&nbsp;</p><p>⭐&nbsp;<strong>Realistic Design:</strong>&nbsp;Recreated with extraordinary precision, these mini sneakers look like their full-size counterparts. Perfect for streetwear and sneakerhead fans.</p><p>⭐<strong>Multifunctionality:</strong> They are great as cute doll shoes, fingerboard accessories, or even as keychains when you add a chain.</p><p>⭐<strong>Portable and Safe:</strong> Their small size allows for easy portability. You can take them anywhere, adding style to your sports bag, backpack or keys.</p><p>⭐<strong>Perfect for Gift:</strong> Whether for sneaker collector, miniature lover, or as an educational toy for kids, these mini shoes are an excellent choice for any occasion</p><p>⭐<strong>Set:</strong> Each set includes a pair of miniature shoes with laces that can be adjusted for a better fit.</p><p>&nbsp;</p><p>Due to their miniature size, the shoes are precisely made, which means that they are as unique as real sneakers.</p><p>TAILWHIP Finger Boots are the perfect gift in a nice looking retail packaging.</p><ul>	<li>set designed&nbsp;<strong>for children from 6 years of age</strong></li>	<li>shoe dimensions: 3 x 1.5 cm</li></ul></div>","<p>&nbsp;</p><p>Finger Sneakers TAIL WHIP Schlüsselanhänger RedSpider</p><p>Sie wurden von der jungen und beliebten Marke TAIL WHIP entwickelt.</p><p>Entdecken Sie die neueste Attraktion für Fingerboard-Fans und darüber hinaus - die Mini Finger Sneakers! Diese äußerst realistischen Mini-Sneakers sind die perfekte Ergänzung zu Ihrer Fingerboard-Sammlung oder als origineller Schlüsselanhänger. Hergestellt aus den hochwertigsten Materialien, beeindrucken diese Miniaturschuhe durch ihre Detailtreue und Authentizität.</p><p>⭐ Realistisches Design: Mit äußerster Präzision nachgebildet, sehen diese Mini-Sneaker aus wie ihre lebensgroßen Gegenstücke. Perfekt für Streetwear-Fans und Sneakerheads.</p><p>⭐Multifunktional: Sie eignen sich hervorragend als süße Puppenschuhe, Fingerboard-Accessoires oder sogar als Schlüsselanhänger, wenn du eine Kette hinzufügst.</p><p>⭐Portabel und sicher: Dank ihrer geringen Größe lassen sie sich leicht transportieren. Du kannst sie überall hin mitnehmen und deiner Sporttasche, deinem Rucksack oder deinen Schlüsseln Stil verleihen.</p><p>⭐Ideal als Geschenk: Ob für einen Sneakersammler, einen Liebhaber von Miniaturen oder als Lernspielzeug für Kinder, diese Mini-Schuhe sind die perfekte Wahl für jede Gelegenheit</p><p>⭐Set: Jedes Set enthält ein Paar Miniaturschuhe mit Schnürsenkeln, die für eine bessere Passform angepasst werden können.</p><p>&nbsp;</p><p>Aufgrund ihrer Miniaturgröße sind die Schuhe präzise gefertigt, sodass sie genauso einzigartig sind wie echte Turnschuhe.</p><p>Die TAILWHIP Fingerstiefel sind das perfekte Geschenk in einer hübschen Verpackung für den Einzelhandel.</p><br/><p>das Set ist für Kinder ab 6 Jahren geeignet</p><p>Abmessungen der Schuhe: 5 x 2 x 3,5 cm</p><p>Verpackungsmaße: 7,5 x 5,5 x 4 cm</p><br/><p>Die Finger Sneakers TAIL WHIP Mini-Schuhe sind ein perfektes Geschenk für Kinder, ein Motorikspielzeug, das die Entwicklung der motorischen Fähigkeiten fördert, und eine tolle Ergänzung für die Auslage eines Geschäfts oder die Dekoration eines Cafés.</p>"
"{""contentId"":""f296cf26-4e61-4e1c-ac75-5e6de2d22ad8"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Fingerbike BMX TAILWHIP Metalowy Mini Rower na Palce Pro Wersja + Akcesoria","Fingerbike BMX TAILWHIP Metall Mini Finger Bike Pro Version + Zubehör"
