"ID (do not edit)","Content type","Element type","Source language (PL)","Target language (EN)"
"{""contentId"":""9b153491-c5b6-42a2-a0a9-db5a114aa08e"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Tajska Emulsja Flying Rabbit - Wsparcie dla Układu Pokarmowego 50ml",
"{""contentId"":""9b153491-c5b6-42a2-a0a9-db5a114aa08e"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","
<div class=""item item-12"">

<h1>Tajska Emulsja Flying Rabbit – Wsparcie dla Układu Pokarmowego 50ml</h1>
<p>Tajska emulsja Flying Rabbit to naturalny preparat wspierający zdrowie układu pokarmowego. Zawiera ekstrakty roślinne, które pomagają w trawieniu, łagodzą dyskomfort żołądkowy i wspierają regenerację przewodu pokarmowego. Produkt idealny dla osób cierpiących na niestrawność i inne problemy żołądkowe.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Emulsja Flying Rabbit skutecznie wspomaga trawienie i poprawia komfort żołądkowy.</p><p><b>Zalety emulsji Flying Rabbit:</b></p><ul><li>Łagodzi dolegliwości żołądkowe</li><li>Wspiera prawidłowe trawienie</li><li>Zawiera naturalne ekstrakty roślinne</li><li>Poprawia perystaltykę jelit</li><li>Delikatna dla żołądka</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Kluczowe składniki i ich działanie:</b></p>
<ul>
<li><b>Ekstrakt z imbiru</b>&nbsp;– wspomaga trawienie i łagodzi wzdęcia.</li>
<li><b>Mięta pieprzowa</b>&nbsp;– działa kojąco na żołądek i jelita.</li>
<li><b>Ekstrakt z kurkumy</b>&nbsp;– wspiera regenerację przewodu pokarmowego.</li>
<li><b>Olejek anyżowy</b>&nbsp;– pomaga w eliminacji gazów i poprawia komfort trawienny.</li>
</ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Sposób użycia:</b></p>
<p>Przed użyciem wstrząsnąć.</p>
<p><b>Przyjmować:</b></p>
<ul>
<li><b>Dzieci do 12 lat:</b>&nbsp;po 5 ml emulsji 3 razy dziennie po posiłku.</li>
<li><b>Dorośli i dzieci w wieku 12 lat i starsze:</b>&nbsp;po 15 ml emulsji 3 razy dziennie po posiłku.</li>
</ul>
<p><b>Skład:</b>&nbsp;Ekstrakt z imbiru, mięta pieprzowa, ekstrakt z kurkumy, olejek anyżowy, inne naturalne składniki.</p>
<p><b>Środki ostrożności:</b></p>
<ul>
<li>Przechowywać w miejscu niedostępnym dla dzieci.</li>
<li>Nie przekraczać zalecanej dawki.</li>
<li>Nie stosować w przypadku nadwrażliwości na składniki.</li>
<li><b>NIE PRZECHOWYWAĆ W LODÓWCE</b></li>
</ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Warunki przechowywania:</b></p>
<p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p>
<p><b>Objętość:</b>&nbsp;50ml</p>
<p><b>Kraj pochodzenia:</b>&nbsp;Tajlandia</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
",
"{""contentId"":""8ba70483-08be-45e0-97ab-c338efff6b6e"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Tajski Naturalny Balsam Rasyan z Ekstraktem Skorpiona, 50g",
"{""contentId"":""8ba70483-08be-45e0-97ab-c338efff6b6e"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","
<div class=""item item-12"">

<h2>Thai Body Balm Spa Rasyan - Tajski Balsam Rasyan z Ekstraktem Skorpiona, 50g</h2><p>Tajski balsam Rasyan z ekstraktem skorpiona to unikalna maść do masażu o silnym działaniu przeciwbólowym i rozgrzewającym. Naturalne składniki pomagają łagodzić bóle mięśniowe i stawowe, poprawiają krążenie oraz wspomagają regenerację po wysiłku fizycznym.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Balsam Rasyan z ekstraktem skorpiona to doskonały wybór dla osób aktywnych fizycznie oraz tych, którzy odczuwają napięcie mięśniowe.</p><p><b>Zalety balsamu Rasyan:</b></p><ul><li>Silne działanie przeciwbólowe</li><li>Rozgrzewa i poprawia krążenie</li><li>Naturalne ekstrakty roślinne</li><li>Przyspiesza regenerację mięśni</li><li>Idealny do masażu terapeutycznego</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Kluczowe składniki i ich działanie:</b></p><ul><li><b>Ekstrakt ze skorpiona</b> – wspomaga regenerację mięśni i działa przeciwbólowo.</li><li><b>Mentol</b> – zapewnia efekt chłodzenia i łagodzi ból.</li><li><b>Olejek eukaliptusowy</b> – poprawia krążenie i działa przeciwzapalnie.</li><li><b>Kamfora</b> – działa przeciwbólowo i regeneracyjnie.</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Sposób użycia:</b></p><p>Niewielką ilość balsamu nanieść na skórę i delikatnie wmasować. Stosować 2-3 razy dziennie.</p><p><b>Skład:</b> Ekstrakt ze skorpiona, mentol, olejek eukaliptusowy, kamfora, inne naturalne składniki.</p><p><b>Środki ostrożności:</b> Unikać kontaktu z oczami i błonami śluzowymi. Nie stosować u dzieci poniżej 3. roku życia.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Warunki przechowywania:</b></p><p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p><p><b>Waga:</b> 50g</p><p><b>Kraj pochodzenia:</b> Tajlandia</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
",
"{""contentId"":""6e367b49-f845-460f-93ba-8f81bd0959fe"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Tajski Różowy Balsam Wangprom na ból, obrzęki i dla wrażliwej skóry 50g",
"{""contentId"":""6e367b49-f845-460f-93ba-8f81bd0959fe"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","
<div class=""item item-12"">

<h2>Tajski różowy balsam Wangprom z mentolem, kamforą i borneolem | Wangprom Herb Borneol Essential Balm - Pink Cool Balm - Wangprom Herbal Pink Balm, 50 g</h2><p>Naturalny ziołowy balsam chłodzący marki Wangprom Herb (Borneol Essential Balm), oryginalny produkt z Tajlandii.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Tajski różowy balsam Wangprom z lotosem to znany i ceniony preparat stworzony na bazie naturalnych składników. Dzięki swojej unikalnej recepturze łączy działanie rozgrzewające z efektem chłodzącym, przynosząc natychmiastową ulgę w bólach mięśni, stawów oraz objawach przeziębienia. Jego delikatna konsystencja, przyjemny kwiatowy zapach i łagodne działanie sprawiają, że jest to najbardziej subtelny balsam w linii produktów Wangprom – polecany dla dzieci, osób starszych i osób o jasnej, wrażliwej skórze.</p><p>Stworzony przez <b>Dr. Wang Proma Chelaema </b>– uznanego tajskiego specjalistę medycyny ziołowej, założyciela Wangprom Herb w 1997 roku.</p><p>Firma została uhonorowana przez Ministerstwo Zdrowia Tajlandii i posiada certyfikaty zgodności z międzynarodowymi normami bezpieczeństwa i skuteczności.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Zastosowanie i działanie:</b></p><p>✅ Łagodzi objawy przeziębienia i zapchany nos (można stosować jako inhalator)</p><p>✅ Działa kojąco na mięśnie i stawy – idealny do masażu</p><p>✅ Pomaga w przypadku bólu głowy, migreny i zawrotów głowy (wystarczy posmarować skronie)</p><p>✅ Przynosi ulgę przy ukąszeniach owadów i podrażnieniach skóry</p><p>✅ Odświeża i chłodzi dzięki wysokiej zawartości mentolu</p><p>✅ Ma właściwości przeciwzapalne i antyseptyczne</p><p>✅ Redukuje stres i napięcie nerwowe</p><p>✅ Polecany również kobietom noszącym obcasy – łagodzi ból nóg</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Skład (na 100 g):</b></p><ul><li>Mentol – 70 g</li><li>Borneol – 5 g</li><li>Kamfora – 5 g</li></ul><p>Inne składniki lecznicze (nieujawnione)</p><p><b>Sposób użycia:</b></p><ul><li>Tylko do użytku zewnętrznego.</li><li>Nałożyć niewielką ilość balsamu na wybrane miejsce (np. kark, skronie, klatka piersiowa, plecy, mięśnie, stawy) i wmasować kolistymi ruchami aż do wchłonięcia.</li><li>Można stosować 2-3 razy dziennie.</li><li>W przypadku przeziębienia – rozetrzeć na klatce piersiowej i wdychać opary.</li><li>Przy ukąszeniach owadów – nanieść punktowo na miejsce ukąszenia.</li><li>W przypadku bólu nóg – rozmasować stopy i łydki, najlepiej przed snem.</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Przeciwwskazania:</b></p><ul><li>Nie stosować na otwarte rany ani błony śluzowe</li><li>Unikać kontaktu z oczami</li><li>Produkt nieodpowiedni dla osób z alergią na którykolwiek ze składników</li></ul><p>Nie stosować u dzieci poniżej 2. roku życia</p><p><b>Warunki przechowywania:</b></p><p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p><p><b>Opakowanie</b>:&nbsp;Szklany słoiczek 50 g z kartonowym pudełkiem.</p><p><b>Waga:</b> 50g</p><p><b>Kraj pochodzenia:</b> Tajlandia - <b>ORYGINALNY</b></p>

</div>


<div class=""item item-12"">

<p>Wangprom Herb to lider wśród producentów tradycyjnych tajskich preparatów ziołowych. Marka cieszy się ogromnym zaufaniem w Tajlandii i poza jej granicami. Wybierz naturalną moc ziół w walce z codziennymi dolegliwościami – wybierz Wangprom&nbsp;Pink Balm</p>

</div>
",
"{""contentId"":""18c9bf08-459c-4a58-aa29-4d68a9238424"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Tajski Naturalny Olejek Inhalacyjny z Ananasem Banna Aromaterapia, 10 ml",
"{""contentId"":""18c9bf08-459c-4a58-aa29-4d68a9238424"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","
<div class=""item item-12"">

<h2>Odkryj tajski balsam inhalacyjny z ananasem Banna</h2><p>Naturalny olejek, który działa kojąco na ciało i umysł. Balsam zawiera mieszankę olejków eterycznych, takich jak kamforowe, eukaliptusowe, mentolowe i ananasowe, które pomagają w walce z bólem głowy, stresem oraz problemami z układem oddechowym. Idealny do stosowania w podróży, przy bólach głowy czy przeziębieniu.</p><h2>Korzyści:</h2><ul> <li>Pomaga przy bólu głowy i zawrotach głowy</li> <li>Wspiera układ oddechowy i łagodzi objawy przeziębienia</li> <li>Pomaga w walce z nudnościami i chorobą lokomocyjną</li> <li>Relaksuje i poprawia nastrój dzięki zapachowi ananasa</li></ul><h2>Idealny do:</h2><ul> <li>Pomocy przy bólach głowy i zawrotach głowy</li> <li>Łagodzenia objawów przeziębienia i grypy</li> <li>Redukcji stresu i poprawy nastroju</li></ul>

</div>
",
"{""contentId"":""422f958e-551b-48e4-9eeb-55b8c0187309"",""fieldId"":""product.name"",""sequencePath"":[]}","TEXT","catalog-product","Tajski Balsam Czarna King Kobra Royal Thai Herb, Maść Rozgrzewająca, 50g",
"{""contentId"":""422f958e-551b-48e4-9eeb-55b8c0187309"",""fieldId"":""product.description"",""sequencePath"":[]}","TEXT","catalog-product","
<div class=""item item-12"">

<h2>Tajski Black Balm King Cobra Royal Thai Herb, Maść Rozgrzewająca, 50g</h2><p>Tajski balsam Czarna Kobra Royal Thai Herb to wyjątkowa maść o silnym działaniu rozgrzewającym i przeciwbólowym. Zawiera naturalne składniki, które pomagają łagodzić bóle stawów, mięśni oraz reumatyczne. Doskonały wybór dla osób zmagających się z artretyzmem i napięciem mięśniowym.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Black Balm King Cobra Royal Thai Herb skutecznie rozgrzewa, poprawia krążenie i działa relaksująco na zmęczone mięśnie.</p><p><b>Zalety balsamu Royal Thai Herb:</b></p><ul><li>Silne działanie rozgrzewające</li><li>Łagodzi bóle stawowe i mięśniowe</li><li>Naturalne składniki roślinne</li><li>Poprawia krążenie krwi</li><li>Idealny do masażu relaksacyjnego</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Kluczowe składniki i ich działanie:</b></p><ul><li><b>Mentol</b> – działa chłodząco i przeciwbólowo.</li><li><b>Olejek eukaliptusowy</b> – wspiera regenerację i zmniejsza napięcie mięśniowe.</li><li><b>Kamfora</b> – działa rozgrzewająco i przeciwzapalnie.</li><li><b>Ekstrakt z jadu kobry</b> – tradycyjny składnik stosowany w medycynie azjatyckiej.</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Sposób użycia:</b></p><p>Niewielką ilość balsamu nanieść na skórę i delikatnie wmasować. Stosować 2-3 razy dziennie.</p><p><b>Skład:</b> Mentol, olejek eukaliptusowy, kamfora, ekstrakt z jadu kobry, inne naturalne składniki.</p><p><b>Środki ostrożności:</b> Unikać kontaktu z oczami i błonami śluzowymi. Nie stosować u dzieci poniżej 3. roku życia.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Warunki przechowywania:</b></p><p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p><p><b>Waga:</b> 50g</p><p><b>Kraj pochodzenia:</b> Tajlandia</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
",
