ID (do not edit),Content type,Element type,Source language (PL),Target language (DE)
"{""contentId"":""b7d75f87-b071-4197-b662-cfba8e2762b4"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Finger Buty na Palce, Akcesoria do Fingerboard, Finger Scooter, Fingerbike","Finger Schuhe für Fingerboards, Zubehör für Fingerboards, Fingerscooter, Fingerbike"
"{""contentId"":""b7d75f87-b071-4197-b662-cfba8e2762b4"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Finger Sneakers TAIL WHIP Keychain Anime</b></p><p>Zostały stworzone przez młodą i popularną markę <b>TAIL WHIP</b>.</p><p>Odkryj najnowszą atrakcję dla miłośników fingerboard i nie tylko - Mini Buty na Palce! Te niezwykle realistyczne mini sneakersy są doskonałym dodatkiem do Twojej kolekcji fingerboard, czy jako oryginalny breloczek. Wykonane z najwyższej jakości materiałów, te miniaturowe buty zachwycają szczegółowością i autentycznością.</p><p>⭐ <b>Realistyczny Design:</b> Odtworzone z niezwykłą precyzją, te mini sneakersy wyglądają jak ich pełnowymiarowe odpowiedniki. Idealne dla fanów streetwearu i sneakerheadów.</p><p>⭐<b>Wielofunkcyjność</b>: Świetnie sprawdzą się jako urocze buty dla lalek, akcesoria do fingerboard, a nawet jako breloczki po dodaniu łańcuszka.</p><p>⭐<b>Przenośne i Bezpieczne</b>: Ich niewielki rozmiar umożliwia łatwe przenoszenie. Możesz zabrać je wszędzie, dodając stylu swojej torbie sportowej, plecaku czy kluczom.</p><p>⭐<b>Idealne na Prezent</b>: Czy to dla kolekcjonera sneakerów, miłośnika miniatur, czy jako edukacyjna zabawka dla dzieci, te mini buty to doskonały wybór na każdą okazję</p><p>⭐<b>Zestaw</b>: Każdy zestaw zawiera parę miniaturowych butów ze sznurówkami, które można regulować dla lepszego dopasowania.</p></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p>Ze względu na ich miniaturowy rozmiar, buty są precyzyjnie wykonane, co oznacza, że są tak unikatowe jak prawdziwe sneakersy.</p><p>Finger Buty na Palce TAILWHIP to idealny prezent w ładnie wyglądającym opakowaniu detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary buta:&nbsp; 5 x 2 x 3.5 cm</li>	<li>wymiary opakowania: 7.5 x 5.5 x 4 cm</li></ul></div><div class=""item item-12""><p><b>Mini buty Finger Sneakers TAIL WHIP to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<div class=""item item-6""> </div><div class=""item item-6""><p>Finger Sneakers TAIL WHIP Schlüsselanhänger Anime</p><p>Sie wurden von der jungen und beliebten Marke TAIL WHIP kreiert.</p><p>Entdecke die neueste Attraktion für Fingerboard-Liebhaber und mehr - Mini-Schuhe für die Finger! Diese äußerst realistischen Mini-Sneakers sind eine hervorragende Ergänzung für deine Fingerboard-Sammlung oder als origineller Schlüsselanhänger. Hergestellt aus Materialien höchster Qualität, begeistern diese Miniaturschuhe durch Detailgenauigkeit und Authentizität.</p><p>⭐Realistisches Design: Mit außergewöhnlicher Präzision nachgebildet, sehen diese Mini-Sneakers aus wie ihre vollwertigen Gegenstücke. Ideal für Streetwear-Fans und Sneakerheads.</p><p>⭐Vielseitigkeit: Sie eignen sich hervorragend als niedliche Schuhe für Puppen, Fingerboard-Zubehör oder sogar als Schlüsselanhänger, wenn man eine Kette hinzufügt.</p><p>⭐Tragbar und Sicher: Ihre geringe Größe ermöglicht einfaches Tragen. Du kannst sie überallhin mitnehmen und deinem Sportbeutel, Rucksack oder Schlüsselbund Stil verleihen.</p><p>⭐Ideal als Geschenk: Ob für Sneaker-Sammler, Miniatur-Liebhaber oder als pädagogisches Spielzeug für Kinder, diese Mini-Schuhe sind die perfekte Wahl für jeden Anlass.</p><p>⭐Set: Jedes Set enthält ein Paar Miniaturschuhe mit Schnürsenkeln, die für eine bessere Passform angepasst werden können.</p></div><div class=""item item-6""> </div><div class=""item item-6""><p>Aufgrund ihrer Miniaturgröße sind die Schuhe präzise gefertigt, was bedeutet, dass sie so einzigartig sind wie echte Sneakers.</p><p>Finger-Schuhe für die Finger TAIL WHIP sind das ideale Geschenk in einer schön aussehenden Einzelhandelsverpackung.</p><ul>Set für Kinder ab 6 Jahren Schuhmaße: 5 x 2 x 3,5 cm Verpackungsmaße: 7,5 x 5,5 x 4 cm
```</ul></div><div class=""item item-12""><p>Mini-Schuhe Finger Sneakers TAIL WHIP sind ein ausgezeichnetes Geschenk für Kinder, ein motorisches Spielzeug zur Unterstützung der Entwicklung motorischer Fähigkeiten und eine großartige Ergänzung für Schaufenster oder Dekorationen in einem Café.</p></div>"
"{""contentId"":""38a7f338-b6a4-4f31-bd4c-0233b51e1e8c"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,offline_payment_method,,
"{""contentId"":""a38c77e1-d30e-45e5-84b5-a33f321cc80a"",""fieldId"":""menu"",""sequencePath"":[]}",TEXT,document.api.MenuService.Menu,<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Główna</label><items/></items><items><label>Sklep</label><items/></items><items><label>O nas</label><items/></items><items><label>Kontakt</label><items/></items></items></menu>,<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Hauptseite</label><items/></items><items><label>Geschäft</label><items/></items><items><label>Über uns</label><items/></items><items><label>Kontakt</label><items/></items></items></menu>
"{""contentId"":""e6914d85-24ae-41ea-b986-208aa7d5ee81"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Fingerbike BMX TAILWHIP Metalowy Mini Rower na Palce Pro Wersja + Akcesoria,Fingerbike BMX TAILWHIP Metall-Mini-Fahrrad für die Finger Pro Version + Zubehör
"{""contentId"":""e6914d85-24ae-41ea-b986-208aa7d5ee81"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Fingerbike BMX TAIL WHIP Metalowy Pro Wersja + Akcesoria</b></p><p>Została stworzona przez młodą i popularną markę&nbsp;<b>TAIL WHIP</b>.</p><p>Nasze mini rowery można rozłożyć i złożyć ponownie. Możesz też użyć dodatkowych akcesoriów w <b>innym kolorze</b>, aby spersonalizować swój rower, tak jak robią to prawdziwi profesjonaliści.</p><p>⭐ <b>Zestaw Fingerbike BMX</b>; PROFESJONALNY&nbsp;Fingerbike BMX TAILWHIP metalowy, metalowy widelec, metalowe kółka z oponami z prawdziwej gumy, pegi metalowe kompletny zestaw</p><p>⭐<b>Miniaturkowa Zabawa</b>: Ciesz się dreszczykiem emocji wykonując niesamowite sztuczki Tailwhip na wyciągnięcie ręki.</p><p>⭐<b>Realistyczny Design</b>: Prezentujący realistyczny model bike BMX do trików ulicznych, prawdziwe triki, prawdziwe ślizgi.</p><p>⭐<b>Przenośny i Zabawny</b>: Zabierz go ze sobą wszędzie i baw się bez końca w podróży.</p><p>⭐<b>Świetny Pomysł na Prezent</b>: Idealny dla entuzjastów sportów ekstremalnych i tych, którzy szukają unikalnego prezentu-niespodzianki.</p><p><b>Finger bmx zestaw&nbsp;</b><b>TAILWHIP</b><b> obejmuje:</b></p><ul>	<li>Mini Rowerek</li>	<li>2 koła w innym kolorze</li>	<li>2 gripy w innym kolorze</li>	<li>4 pegi BMX metalowe</li>	<li>narzędzie do montażu</li>	<li>naklejka</li></ul></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>PRAWDZIWE ROWERY, NIEZWYKŁE TRIKI</b> - ćwicz, aby wykonywać nierealne triki na zabawkowych rowerach terenowych, niesamowite akrobacje, w tym tail whipy, flick triki i wiele więcej dla swoich przyjaciół!</p><p><b>IDEALNY PREZENT</b> - finger rower bmx są idealnym prezentem dla dzieci, aby mogły rozwijać swoje umiejętności motoryczne, koordynację ręka-oko i zwiększać ciekawość. Są to bardzo urocze zabawki, które można zdejmować, rekonfigurować, wymieniać opony, którymi można bawić się palcami.</p><p>Fingerbike mini rowerek<b> TAILWHIP</b> bmx mini dają mnóstwo zabawy podczas&nbsp;<b>nauki i wykonywania trików palcami.</b></p><p>Zabawkowy bmx, odlewany model roweru w 1:18, fingerbike metal, finger pro, wspaniały prezent, z ładnie wyglądającym pudełkiem detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary BMX'a:&nbsp; 11 x 7 x 4,5 cm</li>	<li>wymiary opakowania: 19 x 14 x 5.5 cm</li></ul></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><ul>	<li>Finger bike BMX od <b>TAIL WHIP</b> to kieszonkowa wersja Twojego ulubionego roweru.</li>	<li>Dokładnie odtwarza połączenia, detale i wygląd zewnętrzny.</li>	<li>I tak, można nim sterować palcami, kręcić pedałami i wykonywać supertriki!</li>	<li>Ćwiczenie palców jest niezbędne nie tylko dla maluchów, ale również dla nastolatków i dorosłych wujków oraz cioci.</li></ul><p>Czy wiedzieliście o takich trenażerach do motoryki rąk jak fingerbike, fingerboard, fingerskate?</p><p>A może już macie całą kolekcję takich fingerów od <b>TAIL WHIP</b>?</p></div><div class=""item item-12""><p><b>Mini BMX to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<div class=""item item-6""> </div><div class=""item item-6""><p>Fingerbike BMX TAIL WHIP Metall Pro Version + Zubehör</p><p>Es wurde von der jungen und beliebten Marke TAIL WHIP geschaffen.</p><p>Unsere Mini-Fahrräder können auseinander- und wieder zusammengebaut werden. Du kannst auch zusätzliches Zubehör in einer anderen Farbe verwenden, um dein Fahrrad zu personalisieren, genau wie es echte Profis tun.</p><p>⭐Fingerbike BMX Set; PROFESSIONELLES Fingerbike BMX TAILWHIP Metall, Metallgabel, Metallräder mit echten Gummireifen, Metallpegs komplettes Set</p><p>⭐Miniaturspiel: Genieße den Nervenkitzel, erstaunliche Tailwhip-Tricks in Reichweite auszuführen.</p><p>⭐Realistisches Design: Präsentiert ein realistisches BMX-Bike-Modell für Straßentricks, echte Tricks, echte Slides.</p><p>⭐Tragbar und Spaßig: Nimm es überall mit hin und hab endlosen Spaß auf Reisen.</p><p>⭐Tolle Geschenkidee: Ideal für Extremsport-Enthusiasten und diejenigen, die ein einzigartiges Überraschungsgeschenk suchen.</p><p>Finger BMX Set TAILWHIP beinhaltet:</p><ul>Mini Fahrrad 2 Räder in einer anderen Farbe 2 Griffe in einer anderen Farbe 4 BMX Metall Pegs Montagewerkzeug Aufkleber</ul></div><div class=""item item-6""> </div><div class=""item item-6""><p>ECHTE FAHRRÄDER, UNGEWÖHNLICHE TRICKS - übe, um unrealistische Tricks auf Spielzeug-Geländefahrrädern auszuführen, erstaunliche Akrobatik, einschließlich Tailwhips, Flick-Tricks und vieles mehr für deine Freunde!</p><p>PERFEKTES GESCHENK - Finger BMX Fahrräder sind das perfekte Geschenk für Kinder, um ihre motorischen Fähigkeiten, Hand-Auge-Koordination zu entwickeln und Neugier zu wecken. Es sind sehr niedliche Spielzeuge, die abgenommen, rekonfiguriert, Reifen gewechselt werden können und mit denen man mit den Fingern spielen kann.</p><p>Fingerbike Mini Fahrrad TAILWHIP BMX Mini bietet viel Spaß beim Lernen und Ausführen von Tricks mit den Fingern.</p><p>Spielzeug-BMX, Gussmodell Fahrrad im Maßstab 1:18, Fingerbike Metall, Finger Pro, tolles Geschenk, mit schön aussehender Einzelhandelsverpackung.</p><ul>Set für Kinder ab 6 Jahren geeignet BMX Maße: 11 x 7 x 4,5 cm Verpackungsmaße: 19 x 14 x 5,5 cm</ul></div><div class=""item item-6""> </div><div class=""item item-6""><ul>Fingerbike BMX von TAIL WHIP ist die Taschenversion deines Lieblingsfahrrads. Es reproduziert genau die Verbindungen, Details und das äußere Erscheinungsbild. Und ja, es kann mit den Fingern gesteuert werden, die Pedale können gedreht werden und es können Supertricks ausgeführt werden! Fingerübungen sind nicht nur für Kleinkinder unerlässlich, sondern auch für Teenager und erwachsene Onkel und Tanten.
```</ul><p>Wusstest du von solchen Handmotorik-Trainern wie Fingerbike, Fingerboard, Fingerskate?</p><p>Oder hast du vielleicht schon eine ganze Sammlung solcher Finger von TAIL WHIP?</p></div><div class=""item item-12""><p>Mini BMX ist ein ausgezeichnetes Geschenk für Kinder, ein motorisches Spielzeug, das die Entwicklung motorischer Fähigkeiten unterstützt, und auch eine großartige Ergänzung für Schaufenster oder Dekorationen in Cafés.</p></div>"
"{""contentId"":""f5f16e42-7b8a-483b-8386-9aeb24e1f539"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h1 class=""font_0"">REGULAMIN SKLEPU INTERNETOWEGO TAILWHIP.STORE</h1>","<h1 class=""font_0"">REGELN DES ONLINE-SHOPS TAILWHIP.STORE</h1>"
"{""contentId"":""e5ccb802-29ac-436e-8888-5640e4a4dc88"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Fingerboard Buty TAILWHIP, Finger Sneakers AnimeShock, Akcesoria dla Dzieci","Fingerboard-Schuhe TAILWHIP, Finger-Sneakers AnimeShock, Zubehör für Kinder"
"{""contentId"":""e5ccb802-29ac-436e-8888-5640e4a4dc88"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6""><p><strong>Finger Sneakers TAILWHIP Anime Shock</strong></p><p>&nbsp;</p><p>They were created by the young and popular brand&nbsp;<strong>TAILWHIP</strong>.</p><p>Discover the latest attraction for fingerboard lovers and more - Mini Toe Shoes! These extremely realistic mini sneakers are a great addition to your fingerboard collection or as an original key chain. Crafted with the highest quality materials, these miniature shoes impress with their detail and authenticity.</p><p>&nbsp;</p><p>⭐&nbsp;<strong>Realistic Design:</strong>&nbsp;Recreated with extraordinary precision, these mini sneakers look like their full-size counterparts. Perfect for streetwear and sneakerhead fans.</p><p>⭐<strong>Multifunctionality:</strong> They are great as cute doll shoes, fingerboard accessories, or even as keychains when you add a chain.</p><p>⭐<strong>Portable and Safe:</strong> Their small size allows for easy portability. You can take them anywhere, adding style to your sports bag, backpack or keys.</p><p>⭐<strong>Perfect for Gift:</strong> Whether for sneaker collector, miniature lover, or as an educational toy for kids, these mini shoes are an excellent choice for any occasion</p><p>⭐<strong>Set:</strong> Each set includes a pair of miniature shoes with laces that can be adjusted for a better fit.</p><p>&nbsp;</p><p>Due to their miniature size, the shoes are precisely made, which means that they are as unique as real sneakers.</p><p>TAILWHIP Finger Boots are the perfect gift in a nice looking retail packaging.</p><ul>	<li>set designed&nbsp;<strong>for children from 6 years of age</strong></li>	<li>shoe dimensions: 3 x 1.5 cm</li></ul></div>","<div class=""item item-6""><p>Finger Sneakers TAILWHIP Anime Shock</p><p>Sie wurden von der jungen und beliebten Marke TAILWHIP kreiert.</p><p>Entdecken Sie die neueste Attraktion für Fingerboard-Liebhaber und mehr - Mini-Zehen-Schuhe! Diese äußerst realistischen Mini-Sneaker sind eine großartige Ergänzung für Ihre Fingerboard-Sammlung oder als origineller Schlüsselanhänger. Hergestellt aus Materialien höchster Qualität, beeindrucken diese Miniaturschuhe mit ihrem Detailreichtum und ihrer Authentizität.</p><p>⭐Realistisches Design: Mit außergewöhnlicher Präzision nachgebildet, sehen diese Mini-Sneaker aus wie ihre vollwertigen Gegenstücke. Perfekt für Streetwear- und Sneakerhead-Fans.</p><p>⭐Multifunktionalität: Sie eignen sich hervorragend als niedliche Puppenschuhe, Fingerboard-Zubehör oder sogar als Schlüsselanhänger, wenn Sie eine Kette hinzufügen.</p><p>⭐Tragbar und Sicher: Ihre kleine Größe ermöglicht eine einfache Tragbarkeit. Sie können sie überallhin mitnehmen und Ihrem Sportbeutel, Rucksack oder Ihren Schlüsseln Stil verleihen.</p><p>⭐Perfekt als Geschenk: Ob für Sneaker-Sammler, Miniaturliebhaber oder als pädagogisches Spielzeug für Kinder, diese Mini-Schuhe sind eine ausgezeichnete Wahl für jeden Anlass.</p><p>⭐Set: Jedes Set enthält ein Paar Miniaturschuhe mit Schnürsenkeln, die für eine bessere Passform angepasst werden können.</p><p>Aufgrund ihrer Miniaturgröße sind die Schuhe präzise gefertigt, was bedeutet, dass sie so einzigartig sind wie echte Sneaker.</p><p>TAILWHIP Finger Boots sind das perfekte Geschenk in einer ansprechend aussehenden Einzelhandelsverpackung.</p><p> </p><p>Due to their miniature size, the shoes are precisely made, which means that they are as unique as real sneakers.</p><p>TAILWHIP Finger Boots are the perfect gift in a nice looking retail packaging.</p><ul>Set entworfen für Kinder ab 6 Jahren Schuhmaße: 3 x 1,5 cm</ul></div>"
"{""contentId"":""f296cf26-4e61-4e1c-ac75-5e6de2d22ad8"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Fingerbike BMX TAILWHIP Metalowy Mini Rower na Palce Pro Wersja + Akcesoria,Fingerbike BMX TAILWHIP Metall-Mini-Fahrrad für die Finger Pro Version + Zubehör
